city,state,population
New York,NY,18713220
Los Angeles,CA,12750807
Chicago,IL,8604203
Miami,FL,6445545
Dallas,TX,5743938
Philadelphia,PA,5649300
Houston,TX,5464251
Atlanta,GA,5449398
Washington,DC,5379184
Boston,MA,4688346
Phoenix,AZ,4219697
Seattle,WA,3789215
San Francisco,CA,3592294
Detroit,MI,3506126
San Diego,CA,3220118
Minneapolis,MN,2977172
Tampa,FL,2908063
Denver,CO,2876625
Brooklyn,NY,2559903
Queens,NY,2230722
Riverside,CA,2107852
Baltimore,MD,2106068
Las Vegas,NV,2104198
Portland,OR,2074775
San Antonio,TX,2049293
St. Louis,MO,2024074
Sacramento,CA,1898019
Orlando,FL,1822394
San Jose,CA,1798103
Cleveland,OH,1710093
Pittsburgh,PA,1703266
Austin,TX,1687311
Cincinnati,OH,1662691
Kansas City,MO,1636715
Manhattan,NY,1628706
Indianapolis,IN,1588961
Columbus,OH,1562009
Charlotte,NC,1512923
Virginia Beach,VA,1478868
Bronx,NY,1418207
Milwaukee,WI,1365787
Providence,RI,1203230
Jacksonville,FL,1181496
Salt Lake City,UT,1098526
Nashville,TN,1081903
Richmond,VA,1075798
Memphis,TN,1066967
Raleigh,NC,1038738
New Orleans,LA,1020886
Louisville,KY,1005654
Oklahoma City,OK,972943
Bridgeport,CT,924449
Buffalo,NY,914341
Fort Worth,TX,909585
Hartford,CT,905152
Tucson,AZ,888486
Omaha,NE,847819
El Paso,TX,843386
Honolulu,HI,820987
McAllen,TX,804114
Albuquerque,NM,761195
Birmingham,AL,739573
Sarasota,FL,722243
Dayton,OH,718353
Rochester,NY,703952
Fresno,CA,703498
Allentown,PA,683794
Tulsa,OK,671033
Cape Coral,FL,668382
Concord,CA,652308
Colorado Springs,CO,642413
Charleston,SC,628377
Springfield,MA,623401
Grand Rapids,MI,609314
Mission Viejo,CA,590249
Albany,NY,586383
Knoxville,TN,586048
Bakersfield,CA,579295
Ogden,UT,578523
Baton Rouge,LA,570308
Akron,OH,565208
New Haven,CT,564830
Columbia,SC,560041
Mesa,AZ,518012
Palm Bay,FL,507002
Provo,UT,500617
Worcester,MA,498328
Murrieta,CA,496046
Greenville,SC,484465
Wichita,KS,482249
Toledo,OH,482111
Staten Island,NY,476143
Des Moines,IA,473957
Long Beach,CA,462628
Port St. Lucie,FL,461152
Denton,TX,457177
Madison,WI,447245
Reno,NV,445020
Harrisburg,PA,442289
Little Rock,AR,439815
